Date,best_bid_amount,best_ask_amount,estimated_delivery_price,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,best_bid_price,best_ask_price,interest_rate,open_interest,max_price,min_price,last_price,settlement_price,instrument_name,mark_price,index_price,state,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,strike,expiration_date,dte,spot,option_type,mid_price,mark_price_usd,mid_price_usd,time
24/2/2024,0,471,2963.16,0,81.85,SYN.ETH-26FEB24,2965.3272,69.03,0,0.0004,0,23,0.015,0.0001,0.0006,0.000152,ETH-26FEB24-3350-C,0.0001,2963.16,open,1.71E+12,0.00101,-0.31959,0.04024,0.00013,0.00685,25.96,23,500,0.0001,0.0006,3350,26/2/2024 16:00,1,2961.23,put,0.0002,0.296123,0.592246,52:16.1
24/2/2024,0,107,2963.16,0,90.18,SYN.ETH-26FEB24,2965.3272,73.01,0,0.0004,0,2,0.015,0.0001,0.0001,0.000104,ETH-26FEB24-3400-C,0.0001,2963.16,open,1.71E+12,0.00066,-0.21214,0.02759,9.00E-05,0.00448,0.59,2,0,0.0001,0.0001,3400,26/2/2024 16:00,1,2961.23,put,0.0002,0.296123,0.592246,52:16.1
24/2/2024,0,10,2963.16,0,82.79,SYN.ETH-26FEB24,2965.3272,73.44,0,0.0001,0,0,0.015,0.0001,,4.60E-05,ETH-26FEB24-3450-C,0,2963.16,open,1.71E+12,0.00029,-0.08894,0.01334,4.00E-05,0.002,0,0,,,,3450,26/2/2024 16:00,1,2961.23,put,5.00E-05,0,0.1480615,52:16.1
24/2/2024,0,10,2963.16,0,89.7,SYN.ETH-26FEB24,2965.3272,73.44,0,0.0001,0,0,0.015,0.0001,,1.90E-05,ETH-26FEB24-3500-C,0,2963.16,open,1.71E+12,0.00012,-0.03344,0.0058,2.00E-05,0.0008,0,0,,,,3500,26/2/2024 16:00,1,2961.23,put,5.00E-05,0,0.1480615,52:16.1
24/2/2024,0,0,2963.16,0,0,SYN.ETH-26FEB24,2965.3272,73.44,0,0,0,0,0.015,0.0001,,7.00E-06,ETH-26FEB24-3550-C,0,2963.16,open,1.71E+12,5.00E-05,-0.01193,0.00237,1.00E-05,0.00031,0,0,,,,3550,26/2/2024 16:00,1,2961.23,put,0,0,0,52:16.1
24/2/2024,0,4,2963.16,0,121.37,SYN.ETH-26FEB24,2965.3272,73.44,0,0.0004,0,0,0.015,0.0001,,3.00E-06,ETH-26FEB24-3600-C,0,2963.16,open,1.71E+12,2.00E-05,-0.00405,0.00091,0,0.00011,0,0,,,,3600,26/2/2024 16:00,1,2961.23,put,0.0002,0,0.592246,52:16.1
24/2/2024,0,0,2961.44,0,0,SYN.ETH-27FEB24,2964.8393,60,0,0,0,0,0.182,0.131,,,ETH-27FEB24-2500-C,0.1568,2961.44,open,1.71E+12,0.1945,-0.05647,0.00535,1.00E-05,0.99942,0,0,,,,2500,27/2/2024 16:00,2,2961.23,call,0,464.320864,0,48:19.5
24/2/2024,0,0,2961.44,0,0,SYN.ETH-27FEB24,2964.8393,60,0,0,0,0,0.1665,0.1135,,,ETH-27FEB24-2550-C,0.14,2961.44,open,1.71E+12,0.19805,-0.17742,0.01681,4.00E-05,0.99797,0,0,,,,2550,27/2/2024 16:00,2,2961.23,call,0,414.5722,0,48:19.5
24/2/2024,0,0,2961.44,0,0,SYN.ETH-27FEB24,2964.8393,60,0,0,0,0,0.151,0.096,,,ETH-27FEB24-2600-C,0.1232,2961.44,open,1.71E+12,0.20099,-0.47591,0.04508,0.00011,0.99391,0,0,,,,2600,27/2/2024 16:00,2,2961.23,call,0,364.823536,0,48:19.5
24/2/2024,0,0,2961.44,0,0,SYN.ETH-27FEB24,2964.8393,60,0,0,0,0,0.136,0.079,,,ETH-27FEB24-2650-C,0.1065,2961.44,open,1.71E+12,0.20257,-1.09933,0.10413,0.00025,0.9841,0,0,,,,2650,27/2/2024 16:00,2,2961.23,call,0,315.370995,0,48:19.5
